,input
111,مندرجہ ذیل حوالے کو افسانہ یا غیر افسانوی کے طور پر درجہ بندی کریں۔اگرتھا کی دنیا ایک پراسرار زیر زمین دائرہ ہے۔ یہ ایک پوشیدہ سرزمین ہے جو مختلف قسم کی عجیب و غریب مخلوقات سے بھری ہوئی ہے، دونوں طرح کے خیر خواہ اور بدنیتی۔ لیجنڈز ہمیں بتاتے ہیں کہ اگرتھا یوٹوپیا کا ایک مقام ہے، جہاں علم اور ٹیکنالوجی بہت زیادہ ہے اور ہماری سمجھ سے بالاتر ہے۔
112,حالیہ جنگی تنازعہ کی وضاحت کریں۔
113,میں اپنے ہوم نیٹ ورک میں Raspberry Pi کیسے شامل کروں؟
114,ایک Python فنکشن لکھیں جو دو عدد لیتا ہے اور ان کے کم سے کم مشترکہ ملٹیجر کو لوٹاتا ہے۔
115,بچوں کو اچھے فیصلے کرنے میں مدد کرنے کے لیے قواعد کا ایک سیٹ تیار کریں۔
116,نشاۃ ثانیہ کی دو خصوصیات کا نام بتائیں۔
117,صحیح ہجے استعمال کرتے ہوئے اس جملے کو دوبارہ لکھیں: یہ چیز واقعی مزیدار ہے۔یہ پنیر واقعی مزیدار ہے۔
118,تصور کریں کہ آپ ایک مال میں ہیں، خریدنے کے لیے چار اشیاء تجویز کریں۔
119,#956 کا کیا مطلب ہے؟
120,مشین لرننگ ماڈلز کے لیے اخلاقی تحفظات میں سے ایک کی وضاحت کریں۔
121,درج ذیل خصوصیات سے جانور کی قسم کا اندازہ لگائیں۔ جانور کو آؤٹ پٹ کریں۔پانی میں رہتا ہے، چھوٹی مچھلیوں کا شکار کرتا ہے، خیموں سے شکار کو پکڑتا ہے۔
122,سائبر دھونس کو روکنے کے تین طریقوں کی فہرست بنائیں
123,بائنری 1111000 کو ڈیسیمل میں تبدیل کریں۔
124,“Ce qui a été appris est assez” کا انگریزی میں ترجمہ کریں۔
125,اطالوی کھانوں میں پائے جانے والے پانچ عام اجزاء کے ساتھ آئیں۔
126,آپ کو Whistler Blackcomb کا اپنا سکی ٹرپ کیسا لگتا ہے؟
127,"اس کو جامع بنانے کے لیے درج ذیل جملے میں ترمیم کریں۔

میں آٹا خریدنے کی غرض سے دکان پر گیا۔"
128,ڈیٹا ماڈل کیوں اہم ہیں؟
129,ان نمبروں سے زیادہ سے زیادہ قیمت کا حساب لگائیں: 22، 18، 9، 12
130,پیمائش کو چمچوں میں تبدیل کریں۔3 چائے کے چمچ
131,ویب پر مبنی ایپلیکیشن استعمال کرنے کے فوائد کی وضاحت کریں۔
132,فلم آئرن مین کے لیے فلم کا جائزہ تیار کریں۔
133,پروگرامنگ کے عمل کو بیان کرنے کے لیے ایک استعارہ تحریر کریں۔
134,سمندر کے بارے میں 5 الفاظ کا ہائیکو تحریر کریں۔
135,پلاسٹک کو ری سائیکل کرنے کے کچھ طریقے تجویز کریں۔
136,ستاروں کو درست معلومات سے بدل دیں۔جب کرسٹوفر کولمبس _______ 1492 میں، وہ _______ کے سفر پر تھا۔
137,8 اشیاء کی فہرست بنائیں جو آپ الیکٹرانکس کی دکان میں خریدیں گے۔
138,کمپیوٹر سائنس میں ڈگری کے حامل فرد کے لیے کیریئر کے پانچ راستوں کی فہرست مرتب کریں۔
139,اس ان پٹ اسم سے 5 متعلقہ الفاظ کی فہرست بنائیںشہر
140,وضاحت کریں کہ کوانٹم میکانکس کیا ہے؟
141,The Three Little Pigs کی کہانی کو دو جملوں میں خلاصہ کریں۔
142,اپنی کمپنی کو سیکیورٹی کی خلاف ورزی سے بچاتے وقت، درج ذیل میں سے ہر ایک کو سیکیورٹی بڑھانے یا کم ہو رہی سیکیورٹی کے طور پر درجہ بندی کریں: ملٹی فیکٹر توثیق، VPN، غیر مقفل کمپیوٹرز، مشترکہ پاس ورڈز، اینٹی میلویئر حل
143,اس اعلانیہ جملے کو تفتیشی جملے میں تبدیل کریں۔جان کو میٹنگ میں دیر ہو گئی تھی۔
144,آن لائن تعلیم کے لیے استعمال کرنے کے لیے پانچ مشہور ایپس کی فہرست بنائیں۔
145,"مندرجہ ذیل Python کوڈ کو دیکھتے ہوئے، آؤٹ پٹ کیا ہوگا؟def sum_digits(x):
y = 0
for i in range(len(str(x))):
y += int(str(x)[i])
return y"
146,حرف 'K' سے شروع ہونے والے 5 جانوروں کی فہرست کے بارے میں سوچئے۔
147,Cabomba کبھی کبھی سجاوٹ بلکہ افادیت کے لیے کہاں استعمال ہوتا ہے؟Cabomba ایک آبی پودے کی جینس ہے، جو خاندان Cabombaceae سے تعلق رکھنے والے دو میں سے ایک ہے۔ اس میں ڈوبے ہوئے پتوں کو پنکھے کی شکل میں تقسیم کیا گیا ہے (اس وجہ سے مقامی زبان میں اس کا نام فین ورٹ ہے) اور مچھلی کے ٹینکوں کے لیے ایک آرائشی اور آکسیجن فراہم کرنے والے پودے کے طور پر ایکوائرسٹ اسے بہت پسند کرتے ہیں۔ ایکویریم کی تجارت میں استعمال کی وجہ سے کچھ پرجاتیوں کو دنیا کے دوسرے حصوں میں متعارف کرایا گیا ہے، جیسے آسٹریلیا، جہاں وہ گھاس بن گئے ہیں۔
148,رات کے کھانے کی پارٹی کی میزبانی کے لئے ضروری خریداری کی اشیاء کی فہرست بنائیں۔
149,اعداد کے ایک سیٹ کو دیکھتے ہوئے، اس بات کا تعین کریں کہ آیا کوئی بھی نمبر پرائم ہے یا مرکب۔7، 32، 15
150,بچوں کے لیے ایک منطقی پہیلی بنائیں۔
151,اس ڈش کو پیش کرنے کے لیے تخلیقی طریقہ کے ساتھ آئیں۔میکرونی اور پنیر
152,پچھلے دس سالوں میں فارمولا ون میں پہلے نمبر پر کون آیا؟
153,سمجھائیں کہ سمارٹ اسپیکر کیا ہے۔
154,مجھے بہترین فلموں کی فہرست دیں جو سیکوئل ہیں۔
155,"متن سے لی گئی مثالوں کا استعمال کرتے ہوئے مجھے یلو اسٹون نیشنل پارک میں پائے جانے والے بنیادی ماحول کا ایک رن ڈاؤن ملتا ہے۔ییلو اسٹون نیشنل پارک ایک امریکی قومی پارک ہے جو مغربی ریاستہائے متحدہ میں واقع ہے، زیادہ تر وومنگ کے شمال مغربی کونے میں اور مونٹانا اور ایڈاہو تک پھیلا ہوا ہے۔ یہ 42 ویں امریکی کانگریس نے ییلو اسٹون نیشنل پارک پروٹیکشن ایکٹ کے ساتھ قائم کیا تھا اور 1 مارچ 1872 کو صدر یولیس ایس گرانٹ نے قانون میں دستخط کیے تھے۔[6][7][8][9] ییلو اسٹون امریکہ کا پہلا قومی پارک تھا اور اسے دنیا کا پہلا قومی پارک بھی کہا جاتا ہے۔[10] یہ پارک اپنی جنگلی حیات اور اس کی بہت سی جیوتھرمل خصوصیات کے لیے جانا جاتا ہے، خاص طور پر اولڈ فیتھفل گیزر، جو کہ اس کا سب سے زیادہ مقبول ہے۔[11] اگرچہ یہ بہت سے قسم کے بائیومز کی نمائندگی کرتا ہے، سبالپائن جنگل سب سے زیادہ پرچر ہے۔ یہ جنوبی وسطی راکیز کے جنگلات کے ماحولیاتی خطے کا حصہ ہے۔

جب کہ مقامی امریکی کم از کم 11,000 سالوں سے ییلو اسٹون کے علاقے میں مقیم ہیں،[12] 19ویں صدی کے اوائل سے وسط تک پہاڑی مردوں کے دوروں کے علاوہ، 1860 کی دہائی کے آخر تک منظم تلاش شروع نہیں ہوئی۔ پارک کا انتظام اور کنٹرول اصل میں امریکی محکمہ داخلہ کے دائرہ اختیار میں آتا ہے، جو کہ کولمبس ڈیلانو ہونے کے ناطے پارک کی نگرانی کرنے والے پہلے سیکرٹری داخلہ تھے۔ تاہم، بالآخر امریکی فوج کو 1886 اور 1916 کے درمیان 30 سال تک یلو سٹون کے انتظام کی نگرانی کا کام سونپا گیا۔[13] 1917 میں، پارک کا انتظام نیشنل پارک سروس کو منتقل کر دیا گیا، جو پچھلے سال بنائی گئی تھی۔ سینکڑوں ڈھانچے تعمیر کیے گئے ہیں اور ان کی تعمیراتی اور تاریخی اہمیت کے لیے محفوظ ہیں، اور محققین نے ایک ہزار سے زیادہ آثار قدیمہ کی جگہوں کا جائزہ لیا ہے۔

ییلو اسٹون نیشنل پارک 3,468.4 مربع میل (8,983 km2) کے رقبے پر پھیلا ہوا ہے، [3] جھیلوں، وادیوں، ندیوں اور پہاڑی سلسلوں پر مشتمل ہے۔[11] ییلو اسٹون جھیل شمالی امریکہ کی سب سے بڑی اونچائی والی جھیلوں میں سے ایک ہے اور یہ براعظم کا سب سے بڑا سپر آتش فشاں یلو اسٹون کالڈیرا پر مرکوز ہے۔ کیلڈیرا کو غیر فعال آتش فشاں سمجھا جاتا ہے۔ یہ پچھلے 20 لاکھ سالوں میں کئی بار زبردست قوت کے ساتھ پھوٹ پڑا ہے۔[14] دنیا کے آدھے سے زیادہ گیزر[15][16] اور ہائیڈرو تھرمل خصوصیات[17] ییلو اسٹون میں ہیں، جو اس جاری آتش فشاں کے باعث ہوا ہے۔ آتش فشاں پھٹنے سے لاوا کا بہاؤ اور چٹانیں ییلو اسٹون کے بیشتر زمینی رقبے پر محیط ہیں۔ یہ پارک گریٹر یلو اسٹون ماحولیاتی نظام کا مرکز ہے، جو کہ زمین کے شمالی معتدل زون میں سب سے بڑا باقی رہنے والا تقریباً برقرار ہے۔[18] 1978 میں، ییلو اسٹون کو یونیسکو کے عالمی ثقافتی ورثے کا نام دیا گیا۔

ممالیہ جانوروں، پرندوں، مچھلیوں، رینگنے والے جانوروں اور امفبیئنز کی سینکڑوں انواع کو دستاویز کیا گیا ہے، جن میں کئی ایسی ہیں جو یا تو خطرے سے دوچار ہیں یا خطرے سے دوچار ہیں۔[11] وسیع جنگلات اور گھاس کے میدانوں میں پودوں کی منفرد اقسام بھی شامل ہیں۔ یلو اسٹون پارک ملحقہ ریاستہائے متحدہ میں سب سے بڑا، اور سب سے مشہور میگا فاونا مقام ہے۔ گریزلی ریچھ، کوگر، بھیڑیے، اور بائسن اور ایلک کے آزاد ریوڑ اس پارک میں رہتے ہیں۔ ییلو اسٹون پارک بائسن ہرڈ ریاستہائے متحدہ میں سب سے قدیم اور سب سے بڑا عوامی بائسن ریوڑ ہے۔ پارک میں ہر سال جنگل کی آگ لگتی ہے۔ 1988 کے جنگل میں لگنے والی بڑی آگ میں، پارک کا تقریباً ایک تہائی حصہ جل گیا تھا۔ ییلو اسٹون میں تفریحی مواقع ہیں، بشمول پیدل سفر، کیمپنگ، کشتی رانی، ماہی گیری، اور سیر و تفریح۔ پکی سڑکیں بڑے جیوتھرمل علاقوں کے ساتھ ساتھ کچھ جھیلوں اور آبشاروں تک قریبی رسائی فراہم کرتی ہیں۔ موسم سرما کے دوران، زائرین اکثر گائیڈڈ ٹور کے ذریعے پارک تک رسائی حاصل کرتے ہیں جو کہ برف کے کوچز یا سنو موبائلز استعمال کرتے ہیں۔[19]"
156,نوکری کا اشتہار تیار کریں۔مارکیٹنگ مینیجر
157,سنو مین کے بارے میں ایک لائمرک تحریر کریں۔
158,کیا آپ مزید منظم ہونے کے لیے کچھ طریقے بتا سکتے ہیں اور بغیر کسی ڈیڈ لائن کو چھوڑے اپنے کاموں کو مکمل کر سکتے ہیں؟
159,صحیح پیشگی انتخاب کا انتخاب کریں۔وہ صبح __ پارک میں چلتی ہے۔
160,درج ذیل شرط کے لیے ایک درست بیان بنائیںاگر درجہ حرارت صفر سے زیادہ ہے۔
161,دیے گئے نیوز ایونٹ پر سیاسی رائے کا ٹکڑا بنائیں۔نمائندوں کے نومنتخب گروپ نے تجارتی پالیسی کے لیے ایک مختلف نقطہ نظر تجویز کیا ہے۔
162,20 ویں صدی کی ایک مشہور کتاب کا عنوان منتخب کریں۔
163,فیملی پکنک کے لیے کوئی سرگرمی تجویز کریں۔
